site,lat,lon
SPO.01.0001.3902.5.1,47.84011,16.52617
SPO.01.0003.3903.5.1,48.10915,17.07032
SPO.01.0006.68635.5.1,47.27836,16.22068
SPO.02.F202.56347.5.1,46.84283,14.52998
SPO.02.KA21.55784.5.1,46.62556,14.31806
SPO.02.KA71.64336.5.1,46.62662,14.29914
SPO.02.M121.56344.5.1,46.5584,13.70345
SPO.02.M226.63502.5.1,46.61011,14.39826
SPO.02.SP10.56346.5.1,46.935,13.19453
SPO.02.SP18.56350.5.1,46.80139,13.49389
SPO.02.VI12.55831.5.1,46.61231,13.84147
SPO.02.WO15.55830.5.1,46.83498,14.84346
SPO.02.WO35.56345.5.1,46.70833,14.89167
SPO.03.0101.4885.5.1,48.1199,14.8788
SPO.03.0104.57420.5.1,48.19234,14.51954
SPO.03.0301.4886.5.1,48.1442,16.95787
SPO.03.0401.63472.5.1,48.33472,16.72945
SPO.03.0407.55181.5.1,48.2307,16.6363
SPO.03.0502.4887.5.1,48.87861,15.04667
SPO.03.0599.56151.5.1,48.30833,16.32803
SPO.03.0902.5039.5.1,48.385,16.18211
SPO.03.1301.4888.5.1,48.57832,16.5788
SPO.03.1401.4889.5.1,48.08556,16.30097
SPO.03.1406.5981.5.1,48.08333,16.33722
SPO.03.1413.63458.5.1,48.0843,16.329
SPO.03.1901.60140.5.1,48.32945,16.0625
SPO.03.1902.60145.5.1,48.34509,15.90706
SPO.03.1903.60137.5.1,48.33097,15.8578
SPO.03.1905.60131.5.1,48.32184,15.96462
SPO.03.2301.5055.5.1,48.2116,15.6325
SPO.03.2302.5927.5.1,48.20137,15.61999
SPO.03.2401.5040.5.1,47.81417,16.255
SPO.03.2501.5931.5.1,48.40861,15.61917
SPO.03.2604.63690.5.1,48.04511,14.77228
SPO.03.2701.4756.5.1,48.14558,16.4759
SPO.04.S108.55663.5.2,48.53111,14.57472
SPO.04.S125.55664.5.2,47.71611,13.63222
SPO.04.S156.55665.5.2,48.25747,13.03923
SPO.04.S173.65928.5.2,48.27975,14.3665
SPO.04.S184.63739.5.2,48.30612,14.2975
SPO.04.S217.64654.5.2,48.20944,14.43694
SPO.04.S235.66144.5.2,47.81586,13.72074
SPO.04.S404.55678.5.2,48.22535,14.23755
SPO.04.S406.55669.5.2,48.1649,14.0366
SPO.04.S407.55670.5.2,48.0009,13.66761
SPO.04.S409.55671.5.2,48.04925,14.44236
SPO.04.S415.55673.5.2,48.32333,14.29778
SPO.04.S416.55674.5.2,48.27329,14.31479
SPO.04.S431.55677.5.2,48.30299,14.28217
SPO.04.S432.67678.5.2,47.97386,13.60892
SPO.05.1000.4566.5.1,47.7974,13.05329
SPO.05.1201.68683.5.1,47.81575,13.02801
SPO.05.1500.67773.5.1,47.81486,13.00044
SPO.05.2300.5876.5.1,47.69135,13.10815
SPO.05.5019.67482.5.1,47.13378,13.54318
SPO.05.5032.4567.5.1,47.12566,13.80804
SPO.05.6072.65697.5.1,47.32664,12.79512
SPO.06.036.64293.5.1,47.06701,15.49369
SPO.06.106.4630.5.1,47.06333,15.08667
SPO.06.107.5965.5.1,47.04472,15.15278
SPO.06.114.56196.5.1,47.1925,14.75333
SPO.06.118.5966.5.1,47.17808,14.67667
SPO.06.138.4627.5.1,47.09436,15.41511
SPO.06.139.56482.5.1,47.06944,15.40439
SPO.06.142.4631.5.1,47.37533,15.07405
