site,lat,lon
SPO.01.0001.65188.6001.1,47.84011,16.52617
SPO.02.KA21.64523.6001.1,46.62556,14.31806
SPO.02.KA71.64585.6001.1,46.62662,14.29914
SPO.02.WO15.64586.6001.1,46.83498,14.84346
SPO.03.0101.67767.6001.1,48.1199,14.8788
SPO.03.0104.65867.6001.1,48.19234,14.51954
SPO.03.0301.67770.6001.1,48.1442,16.95787
SPO.03.0407.65866.6001.1,48.2307,16.6363
SPO.03.0599.67771.6001.1,48.30833,16.32803
SPO.03.1406.68665.6001.1,48.08333,16.33722
SPO.03.1413.64561.6001.1,48.0843,16.329
SPO.03.1901.68267.6001.1,48.32945,16.0625
SPO.03.1902.65868.6001.1,48.34509,15.90706
SPO.03.1903.68266.6001.1,48.33097,15.8578
SPO.03.1905.68265.6001.1,48.32184,15.96462
SPO.03.2301.65506.6001.1,48.2116,15.6325
SPO.03.2701.64380.6001.1,48.14558,16.4759
SPO.04.S108.64343.6001.1,48.53111,14.57472
SPO.04.S125.64342.6001.1,47.71611,13.63222
SPO.04.S156.65711.6001.1,48.25747,13.03923
SPO.04.S173.65929.6001.1,48.27975,14.3665
SPO.04.S184.63740.6001.1,48.30612,14.2975
SPO.04.S217.64558.6001.1,48.20944,14.43694
SPO.04.S235.66078.6001.1,47.81586,13.72074
SPO.04.S404.65686.6001.1,48.22535,14.23755
SPO.04.S406.66100.6001.1,48.1649,14.0366
SPO.04.S407.64671.6001.1,48.0009,13.66761
SPO.04.S409.64673.6001.1,48.04925,14.44236
SPO.04.S415.65739.6001.1,48.32333,14.29778
SPO.04.S416.64344.6001.1,48.27329,14.31479
SPO.04.S431.64526.6001.1,48.30299,14.28217
SPO.04.S432.67683.6001.1,47.97386,13.60892
SPO.05.1000.67627.6001.1,47.7974,13.05329
SPO.05.1201.68719.6001.1,47.81575,13.02801
SPO.05.2300.68902.6001.1,47.69135,13.10815
SPO.05.5032.68904.6001.1,47.12566,13.80804
SPO.05.6072.65702.6001.1,47.32664,12.79512
SPO.06.170.68436.6001.1,47.04172,15.43308
SPO.06.173.68661.6001.1,47.05008,15.42861
SPO.06.176.68446.6001.1,47.42567,15.27053
SPO.06.178.66059.6001.1,47.2157,15.62839
SPO.06.197.65540.6001.1,46.77833,15.54056
SPO.07.2110.68510.6001.1,47.26262,11.39236
SPO.07.2519.68763.6001.1,47.42855,11.8718
SPO.07.2710.68505.6001.1,47.4476,10.74412
SPO.07.2821.68663.6001.1,47.34877,11.69203
SPO.07.2910.68506.6001.1,46.82773,12.76562
SPO.09.A23.65516.6001.1,48.20306,16.43455
SPO.09.AKC.5066.6001.1,48.21911,16.34982
SPO.09.BELG.67350.6001.1,48.17435,16.36142
SPO.09.FLO.67351.6001.1,48.26109,16.39695
SPO.09.GAUD.67352.6001.1,48.18715,16.33933
SPO.09.KE.66730.6001.1,48.15671,16.47605
SPO.09.KEND.64567.6001.1,48.205,16.30975
SPO.09.LIES.67354.6001.1,48.14125,16.30008
SPO.09.LOB.64566.6001.1,48.16207,16.52561
SPO.09.SCHA.66729.6001.1,48.23537,16.30156
SPO.09.STAD.64538.6001.1,48.22636,16.45835
SPO.09.TAB.56213.6001.1,48.21674,16.38092
SPO.10.ENK1.64509.6001.2,48.39164,13.67086
SPO.10.ILL1.64670.6001.2,47.77028,16.76639
SPO.10.PIL1.64510.6001.2,48.7212,15.936
SPO.10.ZOE2.65499.6001.2,47.83828,14.44091
