site,lat,lon
SP_08102007_10_47,41.5776,1.6259
SP_01022001_10_47,42.51833,-2.61944
SP_01036004_10_47,43.14407,-2.96337
SP_01051001_10_49,42.849,-2.3937
SP_01055001_10_47,42.8752,-3.2317
SP_01059008_10_49,42.8548,-2.6807
SP_01059009_10_47,42.85607,-2.66779
SP_01059012_10_47,42.84361,-2.66139
SP_02003002_10_49,38.9808,-1.8452
SP_03014009_10_46,38.35111,-0.51389
SP_03066003_10_46,38.45472,-0.80333
SP_03140001_10_46,38.63943,-0.87241
SP_04013004_10_49,36.84133,-2.44672
SP_04022001_10_49,37.19299,-1.97908
SP_04032005_10_49,36.9968,-1.8954
SP_04902001_10_49,36.76972,-2.81097
SP_05019002_10_49,40.66472,-4.70083
SP_07040002_10_49,39.57125,2.65703
SP_07040003_10_49,39.56453,2.62169
SP_07046001_10_49,38.99439,1.31014
SP_08019004_10_47,41.4039,2.2045
SP_08019043_10_47,41.3853,2.1538
SP_08019054_10_47,41.4261,2.148
SP_08019058_10_47,41.4189,2.1237
SP_08022006_10_47,42.0979,1.8482
SP_08096014_10_47,41.5987,2.2871
SP_08101001_10_47,41.3705,2.115
SP_08112003_10_47,42.0033,2.2873
SP_08114006_10_47,41.4756,1.9232
SP_08121013_10_47,41.5472,2.4433
