datetime,SP_30022002_9_A,SP_41004007_9_A,SP_44051002_9_46,SP_48020003_9_49,SP_46250055_9_46,SP_46250030_9_46,SP_46220003_9_46,SP_43064001_9_47,SP_42173001_9_46,SP_31201015_9_46,SP_30030015_9_A,SP_30027002_9_A,SP_30016020_9_A,SP_30016018_9_A,SP_30005002_9_A,SP_28171001_9_49,SP_28115003_9_49,SP_28106001_9_49,SP_28016001_9_49,SP_28009001_9_49,SP_26089001_9_49,SP_25209001_9_47,SP_25120001_9_47,SP_24115017_9_46,SP_20069006_9_46,SP_20018001_9_49,SP_12141002_9_46,SP_12140002_9_46,SP_09018002_9_46,SP_03014009_9_46,SP_03066003_9_46,SP_03140001_9_46,SP_08112003_9_47
2025-01-01 03:00:00,11.08,36.0,2.7,7.0,38.0,46.0,8.0,15.0,12.0,1.0,60.83,52.73,8.17,9.0,25.75,13.0,30.0,48.0,5.0,47.0,21.0,8.0,35.0,26.0,16.0,17.0,3.0,7.0,4.0,4.0,10.0,9.0,63.0
2025-01-01 04:00:00,10.98,53.0,3.8,5.0,27.0,38.0,6.0,13.0,8.0,1.0,23.15,70.38,8.72,6.88,39.07,12.0,35.0,43.0,5.0,38.0,18.0,9.0,30.0,27.0,8.0,18.0,2.0,8.0,4.0,2.0,8.0,10.0,70.0
2025-01-01 05:00:00,11.67,26.0,3.8,4.0,19.0,29.0,4.0,10.0,11.0,1.0,19.33,39.73,8.87,3.93,24.02,13.0,36.0,42.0,4.0,24.0,18.0,9.0,28.0,22.0,8.0,13.0,3.0,7.0,3.0,2.0,7.0,12.0,43.0
2025-01-01 06:00:00,7.12,18.0,3.0,4.0,14.0,18.0,4.0,7.0,8.0,1.0,20.03,28.48,7.08,3.02,16.13,12.0,36.0,41.0,3.0,14.0,16.0,7.0,28.0,21.0,8.0,10.0,3.0,7.0,3.0,2.0,6.0,8.0,40.0
2025-01-01 07:00:00,5.73,17.0,3.3,4.0,12.0,14.0,4.0,6.0,8.0,1.0,17.73,19.5,5.63,4.05,18.2,12.0,29.0,43.0,3.0,10.0,16.0,6.0,27.0,16.0,8.0,6.0,2.0,4.0,3.0,2.0,8.0,7.0,37.0
2025-01-01 08:00:00,4.83,16.0,3.3,3.0,13.0,12.0,3.0,8.0,9.0,1.0,12.68,13.72,4.9,5.1,14.57,13.0,21.0,40.0,2.0,6.0,14.0,7.0,26.0,14.0,9.0,5.0,2.0,4.0,3.0,1.0,8.0,4.0,37.0
2025-01-01 09:00:00,4.38,13.0,3.0,4.0,11.0,12.0,3.0,5.0,8.0,1.0,12.48,29.6,6.17,5.58,11.62,13.0,16.0,35.0,3.0,7.0,11.0,6.0,20.0,13.0,9.0,4.0,2.0,6.0,3.0,1.0,7.0,4.0,26.0
2025-01-01 10:00:00,4.3,12.0,3.5,4.0,12.0,11.0,5.0,7.0,6.0,1.0,10.18,23.52,6.98,5.37,10.05,15.0,13.0,30.0,4.0,4.0,9.4,9.0,20.0,13.0,10.0,6.0,2.0,6.0,3.0,2.0,6.0,3.0,21.0
2025-01-01 11:00:00,2.92,17.0,2.8,4.0,10.0,11.0,4.0,7.0,5.0,1.0,6.98,21.72,6.12,5.32,5.15,12.0,10.0,25.0,4.0,3.0,10.0,5.0,23.0,12.0,9.0,6.0,8.0,10.0,3.0,2.0,6.0,3.0,24.0
2025-01-01 12:00:00,3.65,7.0,4.8,4.0,8.0,8.0,4.0,9.0,6.0,1.0,7.38,15.43,4.3,7.97,5.18,11.0,8.0,20.0,4.0,2.0,13.0,4.0,22.0,15.0,7.0,6.0,5.0,19.0,4.0,2.0,3.0,4.0,26.0
