site,lat,lon
SP_30022002_9_A,38.4717,-1.3285
SP_41004007_9_A,37.35944,-5.86911
SP_44051002_9_46,40.94667,-0.29083
SP_48020003_9_49,43.2549,-2.9023
SP_46250055_9_46,39.46922,-0.40605
SP_46250030_9_46,39.45611,-0.37583
SP_46220003_9_46,39.66722,-0.23472
SP_43064001_9_47,41.0582,0.4397
SP_42173001_9_46,41.7667,-2.4667
SP_31201015_9_46,42.807,-1.644
SP_30030015_9_A,37.9701,-1.1277
SP_30027002_9_A,38.05737,-1.20481
SP_30016020_9_A,37.6018,-0.9762
SP_30016018_9_A,37.6925,-1.0659
SP_30005002_9_A,37.9745,-1.2321
SP_28171001_9_49,40.2479,-4.2752
SP_28115003_9_49,40.4491,-3.8037
SP_28106001_9_49,40.23356,-3.7694
SP_28016001_9_49,40.909,-3.4679
SP_28009001_9_49,40.5997,-3.5033
SP_26089001_9_49,42.464,-2.428
SP_25209001_9_47,42.4054,1.13
SP_25120001_9_47,41.6158,0.6157
SP_24115017_9_46,42.5507,-6.6036
SP_20069006_9_46,43.31217,-1.98083
SP_20018001_9_49,43.1804,-2.2682
SP_12141002_9_46,40.735,-0.16944
SP_12140002_9_46,39.93056,-0.60333
SP_09018002_9_46,41.66556,-3.68889
SP_03014009_9_46,38.35111,-0.51389
SP_03066003_9_46,38.45472,-0.80333
SP_03140001_9_46,38.63943,-0.87241
SP_08112003_9_47,42.0033,2.2873
