site,lon,lat
GB_SamplingPoint_61929,-3.00718,53.80489
GB_SamplingPoint_64235,-4.24145,57.48131
GB_SamplingPoint_76896,-1.56023,52.41156
GB_SamplingPoint_76914,-1.40688,54.88361
SP_08112003_10_47,2.2873,42.0033
SPO-BELEG05_00005_100,3.78608,51.17405
SPO-BELHH08_00005_100,5.37637,51.03158
SPO-BELMN01_00005_100,3.10965,50.79355
SPO-BELRL01_00005_100,3.12108,50.95337
SPO-BELSA04_00005_100,4.40387,51.31393
SPO-BELZB07_00005_100,3.21821,51.32178
SPO-BETAL09_00005_100,4.36846,51.21989
SPO-BETAL10_00005_100,4.36846,51.21989
SPO-BETB011_00005_100,4.28871,50.85781
SPO-BETH201_00005_100,5.54746,50.62499
SPO-BETM705_00005_100,3.1524,50.94536
SPO-BETMEU1_00005_100,4.39572,50.895
SPO-BETN016_00005_100,5.16398,51.23365
SPO-BETN035_00005_100,4.83762,50.97758
SPO-BETN064_00005_100,4.49436,50.72089
SPO-BETN100_00005_100,4.59476,50.09568
SPO-BETN113_00005_100,5.59302,50.02703
SPO-BETN132_00005_100,5.6304,49.71928
SPO-BETR001_00005_100,4.3341,50.84971
SPO-BETR012_00005_100,4.35862,50.79665
SPO-BETR020_00005_100,4.43672,50.94139
SPO-BETR221_00005_100,5.62784,50.65844
SPO-BETR240_00005_100,5.39745,50.58361
SPO-BETR401_00005_100,4.86526,50.46243
SPO-BETR501_00005_100,4.45217,50.40931
SPO-BETR512_00005_100,4.3959,50.40781
SPO-BETR515_00005_100,4.42546,50.4516
SPO-BETR516_00005_100,4.48496,50.46913
SPO-BETR701_00005_100,3.7293,51.05833
SPO-BETR802_00005_100,4.43166,51.20944
SPO-BETR803_00005_100,4.42848,51.22864
SPO-BETR805_00005_100,4.42154,51.20825
SPO-BETR823_00005_100,4.24049,51.21324
SPO-BETR842_00005_100,4.48326,51.02037
SPO-BETZD08_00005_100,4.33152,51.22731
SPO-BG0013A_00005_500,27.58724,43.22304
SPO-BG0018A_00005_100,25.37968,41.63608
SPO-BG0038A_00005_100,26.93844,43.26821
SPO-BG0040A_00005_100,23.31097,42.73229
SPO-BG0041A_00005_500,25.59345,42.05638
SPO-BG0043A_00005_500,23.55741,43.20798
SPO-BG0044A_00005_500,27.37514,42.51889
SPO-BG0045A_00005_100,25.96409,43.85137
SPO-BG0050A_00005_100,23.29679,42.68056
SPO-BG0051A_00005_100,24.76524,42.14289
SPO-BG0052A_00005_100,23.40016,42.66651
SPO-BG0055A_00005_100,25.63739,42.43236
SPO-BG0056A_00005_100,27.42097,42.45662
SPO-BG0057A_00005_100,25.69121,43.12647
SPO-BG0058A_00005_100,23.09782,42.00193
SPO-BG0066A_00005_100,24.71574,43.13693
SPO-BG0069A_00005_100,26.33833,42.67401
SPO-BG0071A_00005_100,27.72096,42.65976
SPO-BG0073A_00005_100,23.2684,42.6698
SPO-BG0075A_00005_100,27.91573,43.22439
SPO-BG0076A_00005_100,27.83308,43.55288
SPO-BG0077A_00005_100,24.71412,41.57662
SPO-BG0078A_00005_100,24.78795,42.14119
SPO-BG0079A_00005_100,23.38327,42.65549
SPO-BG0080A_00005_100,23.03219,42.61033
SPO-BG0084A_00005_100,24.62425,43.40904
SPO-CH0022A_00005_100,8.30068,47.0677
SPO-CH0024A_00005_100,7.14833,46.139
SPO-CH0046A_00005_100,6.21125,46.1956
SPO-CH0050A_00005_100,6.07417,46.2311
SPO-CH0051A_00005_100,6.00518,46.1626
SPO-CH0061A_00005_100,6.6223,46.5358
SPO.CZ_ABREA_PM10_1317407,14.38012,50.08438
SPO.CZ_ALIBA_PM10_40285,14.44593,50.00731
SPO.CZ_APRUA_PM10_194125,14.53782,50.0623
SPO.CZ_ASTOA_PM10_41242,14.33141,50.04613
SPO.CZ_ASUCA_PM10_40237,14.38464,50.12653
SPO.CZ_AVRSA_PM10_40316,14.44615,50.06643
SPO.CZ_AVYNA_PM10_41248,14.5031,50.11108
SPO.CZ_BBDNA_PM10_1193937,16.61629,49.20272
SPO.CZ_BBNIA_PM10_1368848,16.67802,49.21321
SPO.CZ_BBNVA_PM10_1369778,16.59364,49.19809
SPO.CZ_BBNYA_PM10_40797,16.69622,49.14897
SPO.CZ_BHODA_PM10_1315080,17.13139,48.85728
SPO.CZ_BZNOA_PM10_41141,16.06013,48.84296
SPO.CZ_CHVOA_PM10_1337502,14.72338,48.7242
SPO.CZ_CPRAA_PM10_987035,14.00044,49.01609
SPO.CZ_EMTPA_PM10_1369853,16.66672,49.759
SPO.CZ_EPAUA_PM10_41095,15.76355,50.02404
SPO.CZ_HHKBA_PM10_41180,15.84638,50.19536
SPO.CZ_JKOSA_PM10_40841,15.08028,49.57339
SPO.CZ_KCHMA_PM10_188571,12.36344,50.06586
SPO.CZ_KSOMA_PM10_40534,12.67282,50.17282
SPO.CZ_LCLMA_PM10_40522,14.53734,50.69804
SPO.CZ_LLILA_PM10_1367192,15.06997,50.7551
SPO.CZ_MBELA_PM10_1379567,17.80422,49.58708
SPO.CZ_MPSTA_PM10_40805,17.11473,49.46786
SPO.CZ_PKUJA_PM10_1337478,13.61854,49.722
SPO.CZ_PPLLA_PM10_865012,13.36822,49.77013
SPO.CZ_PPLVA_PM10_40750,13.42338,49.76862
SPO.CZ_SBERA_PM10_40854,14.0583,49.95793
SPO.CZ_SKLMA_PM10_41045,14.10178,50.14386
SPO.CZ_SPBRA_PM10_1456903,13.99122,49.67632
SPO.CZ_TFMIA_PM10_40616,18.35107,49.67179
SPO.CZ_THAOA_PM10_1507340,18.44319,49.77153
SPO.CZ_THARA_PM10_40626,18.40684,49.79098
SPO.CZ_TKAOK_PM10_1316627,18.55778,49.85889
SPO.CZ_TKARA_PM10_40635,18.55145,49.8638
SPO.CZ_TOFFA_PM10_40561,18.26369,49.83919
SPO.CZ_TTRKA_PM10_1658575,18.64304,49.67238
SPO.CZ_UCHMA_PM10_40331,13.4127,50.46753
SPO.CZ_UDCMA_PM10_40451,14.21879,50.77415
SPO.CZ_UKRUA_PM10_40375,13.84769,50.69667
SPO.CZ_ULOMA_PM10_188527,13.67342,50.58577
