site,lon,lat
GB_SamplingPoint_76566,-4.24145,57.48131
GB_SamplingPoint_76689,-3.00278,53.04222
SPO-BELAL05_06001_100,4.27889,51.26314
SPO-BELEG05_06001_100,3.78608,51.17405
SPO-BELHH08_06001_100,5.37637,51.03158
SPO-BELMN01_06001_100,3.10965,50.79355
SPO-BELRL01_06001_100,3.12108,50.95337
SPO-BELSA04_06001_100,4.40387,51.31393
SPO-BELZB07_06001_100,3.21821,51.32178
SPO-BETAL09_06001_100,4.36846,51.21989
SPO-BETAL10_06001_100,4.36846,51.21989
SPO-BETH201_06001_100,5.54746,50.62499
SPO-BETM705_06001_100,3.1524,50.94536
SPO-BETN016_06001_100,5.16398,51.23365
SPO-BETN064_06001_100,4.49436,50.72089
SPO-BETN100_06001_100,4.59476,50.09568
SPO-BETN132_06001_100,5.6304,49.71928
SPO-BETR001_06001_100,4.3341,50.84971
SPO-BETR020_06001_100,4.43672,50.94139
SPO-BETR221_06001_100,5.62784,50.65844
SPO-BETR240_06001_100,5.39745,50.58361
SPO-BETR401_06001_100,4.86526,50.46243
SPO-BETR501_06001_100,4.45217,50.40931
SPO-BETR512_06001_100,4.3959,50.40781
SPO-BETR515_06001_100,4.42546,50.4516
SPO-BETR516_06001_100,4.48496,50.46913
SPO-BETR701_06001_100,3.7293,51.05833
SPO-BETR802_06001_100,4.43166,51.20944
SPO-BETR803_06001_100,4.42848,51.22864
SPO-BETR805_06001_100,4.42154,51.20825
SPO-BETR823_06001_100,4.24049,51.21324
SPO-BETZD08_06001_100,4.33152,51.22731
SPO-BG0045A_06001_100,25.96409,43.85137
SPO-BG0050A_06001_100,23.29679,42.68056
SPO-BG0070A_06001_100,23.24386,42.63719
SPO-BG0075A_06001_100,27.91573,43.22439
SPO.CZ_ASTOA_PM2_5_867319,14.33141,50.04613
SPO.CZ_BBNIA_PM2_5_1368852,16.67802,49.21321
SPO.CZ_BBNVA_PM2_5_1369782,16.59364,49.19809
SPO.CZ_BBNYA_PM2_5_40798,16.69622,49.14897
SPO.CZ_BHODA_PM2_5_1315083,17.13139,48.85728
SPO.CZ_EPAUA_PM2_5_41101,15.76355,50.02404
SPO.CZ_LLILA_PM2_5_1367196,15.06997,50.7551
