site,lat,lon
SPO-FR02022_5,43.67511,4.62921
SPO-FR02041_5,43.639,5.1011
SPO-FR02043_5,43.41653,5.22228
SPO-FR03027_5,43.3352,5.72737
SPO-FR03029_5,43.53029,5.44091
SPO-FR03080_5,43.94967,4.80434
SPO-FR05090_5,49.51469,0.10065
SPO-FR07004_5,45.79728,3.11383
SPO-FR07052_5,44.92008,2.44108
SPO-FR07058_5,46.34072,2.59395
SPO-FR07061_5,45.89674,3.12225
SPO-FR08020_5,43.6758,4.08838
SPO-FR09103_5,45.64743,0.16716
SPO-FR09302_5,46.14323,-0.39591
SPO-FR09303_5,46.32003,-0.48286
SPO-FR09404_5,46.584,0.34558
SPO-FR10004_5,51.04858,2.42004
SPO-FR10017_5,51.03276,2.33236
SPO-FR12004_5,43.57569,1.41806
SPO-FR12030_5,43.58735,1.444
SPO-FR12042_5,43.09625,-0.0405
SPO-FR12052_5,43.2303,0.06234
SPO-FR12053_5,43.6105,2.23015
SPO-FR12095_5,44.35699,2.5707
SPO-FR15048_5,45.2797,5.8822
SPO-FR16029_5,48.61036,7.78163
SPO-FR18043_5,49.25955,2.4744
SPO-FR21001_5,49.19222,-0.39111
SPO-FR21031_5,48.44555,0.11083
SPO-FR21038_5,49.64225,-1.62436
SPO-FR21050_5,48.645,-0.45833
SPO-FR23110_5,47.26411,-2.25015
SPO-FR23124_5,46.65662,-0.74338
SPO-FR23152_5,46.66065,-1.43686
SPO-FR23177_5,47.78833,-0.44476
SPO-FR23182_5,47.97115,0.22136
SPO-FR23239_5,47.18594,-1.5915
SPO-FR23249_5,47.32113,-2.12734
SPO-FR24009_5,43.55839,7.00592
SPO-FR24021_5,43.78658,7.37328
SPO-FR24036_5,43.70208,7.28626
SPO-FR25039_5,49.02134,1.14832
SPO-FR25043_5,49.4005,1.09904
SPO-FR26017_5,46.99683,3.17109
SPO-FR26019_5,47.80058,3.57619
SPO-FR27002_5,45.36782,4.80515
SPO-FR27007_5,45.60822,5.27087
SPO-FR30019_5,48.17265,6.45282
SPO-FR31007_5,44.90029,-0.51584
SPO-FR31033_5,45.18982,0.72718
SPO-FR33121_5,45.675,6.38972
SPO-FR33212_5,46.19364,6.21453
SPO-FR34024_5,47.34414,0.65378
SPO-FR34032_5,47.08278,2.40533
SPO-FR34041_5,48.44442,1.51014
SPO-FR34061_5,47.59426,1.30267
SPO-FR35027_5,45.8422,1.25969
SPO-FR36019_5,45.0425,5.0443
SPO-FR36021_5,44.56944,5.27897
SPO-FR39015_5,14.60744,-61.06978
SPO-FR41001_5,41.92469,8.73569
SPO-FR42010_5,48.57281,7.76783
SPO-FR50060_5,44.01286,1.37531
SPO-FR82010_5,47.51031,6.794
