site,lat,lon
SPO-FR02022_6001,43.67511,4.62921
SPO-FR02041_6001,43.639,5.1011
SPO-FR02043_6001,43.41653,5.22228
SPO-FR03029_6001,43.53029,5.44091
SPO-FR05090_6001,49.51469,0.10065
SPO-FR07004_6001,45.79728,3.11383
SPO-FR07058_6001,46.34072,2.59395
SPO-FR08020_6001,43.6758,4.08838
SPO-FR09103_6001,45.64743,0.16716
SPO-FR09303_6001,46.32003,-0.48286
SPO-FR15048_6001,45.2797,5.8822
SPO-FR21031_6001,48.44555,0.11083
SPO-FR21038_6001,49.64225,-1.62436
SPO-FR21050_6001,48.645,-0.45833
SPO-FR23124_6001,46.65662,-0.74338
SPO-FR23152_6001,46.66065,-1.43686
SPO-FR23182_6001,47.97115,0.22136
SPO-FR23249_6001,47.32113,-2.12734
SPO-FR24009_6001,43.55839,7.00592
SPO-FR25039_6001,49.02134,1.14832
SPO-FR31007_6001,44.90029,-0.51584
SPO-FR33121_6001,45.675,6.38972
SPO-FR36019_6001,45.0425,5.0443
SPO-FR41001_6001,41.92469,8.73569
SPO-FR42010_6001,48.57281,7.76783
