datetime,SPO.IT0499A_5_nephelometry_beta_2015-01-01_00:00:00,SPO.IT0477A_5_BETA_2022-01-01_00:00:00,SPO.IT0507A_5_nephelometry_beta_2019-01-01_00:00:00,SPO.IT0508A_5_nephelometry_beta_2020-01-01_00:00:00,SPO.IT0594A_5_BETA_2022-01-01_00:00:00,SPO.IT0692A_5_BETA_2022-01-01_00:00:00,SPO.IT0709A_5_BETA_2022-01-01_00:00:00,SPO.IT0742A_5_BETA_2022-01-01_00:00:00,SPO.IT0776A_5_BETA_2022-01-01_00:00:00,SPO.IT0778A_5_BETA_2022-01-01_00:00:00,SPO.IT0794A_5_BETA_2018-01-01_00:00:00,SPO.IT0842A_5_BETA_2022-12-01_01:00:00,SPO.IT0846A_5_BETA_2022-01-01_00:00:00,SPO.IT0983A_5_OPC-CMC_2020-01-01_00:00:00,SPO.IT0997A_5_BETA_2022-01-01_00:00:00,SPO.IT1034A_5_BETA_2022-01-01_00:00:00,SPO.IT1037A_5_nephelometry_beta_2006-01-14_00:00:00,SPO.IT1090A_5_BETA_2001-10-02_00:00:00,SPO.IT1104A_5_BETA_2022-01-01_00:00:00,SPO.IT1168A_5_BETA_2014-03-09_00:00:00,SPO.IT1208A_5_BETA_2007-06-26_00:00:00,SPO.IT1264A_5_BETA_1999-04-01_00:00:00,SPO.IT1294A_5_BETA_2022-01-01_00:00:00,SPO.IT1334A_5_nephelometry_beta_2016-01-01_00:00:00,SPO.IT1420A_5_BETA_2016-01-01_00:00:00,SPO.IT1423A_5_BETA_1999-04-01_00:00:00,SPO.IT1449A_5_BETA_2018-01-01_00:00:00,SPO.IT1463A_5_BETA_2022-01-01_00:00:00,SPO.IT1646A_5_BETA_2022-01-01_00:00:00,SPO.IT1734A_5_BETA_2022-01-01_00:00:00,SPO.IT1856A_5_BETA_2007-01-01_00:00:00,SPO.IT1857A_5_BETA_2007-01-01_00:00:00,SPO.IT1859A_5_nephelometry_beta_2007-11-16_00:00:00,SPO.IT1868A_5_BETA_2022-01-01_00:00:00,SPO.IT1869A_5_BETA_2022-01-01_00:00:00,SPO.IT1876A_5_BETA_2022-01-01_00:00:00,SPO.IT1977A_5_BETA_2009-06-15_00:00:00,SPO.IT2115A_5_BETA_2013-10-04_00:00:00,SPO.IT2132A_5_BETA_2013-12-18_00:00:00,SPO.IT2133A_5_BETA_2013-12-21_00:00:00,SPO.IT2161A_5_BETA_2016-01-01_00:00:00,SPO.IT2166A_5_BETA_2017-01-01_00:00:00,SPO.IT2167A_5_BETA_2017-01-01_00:00:00,SPO.IT2284A_5_OPC-CMC_2019-01-01_00:00:00,SPO.IT2288A_5_BETA_2018-01-01_00:00:00
2025-01-01 04:00:00,34.3,485.22025,40.34,37.43,52.725376,83.37,87.414566,69.9,61.420902,137.8,34.01335,124.9,93.9,52.4,85.0669,98.0,59.3,40.14,137.75,38.29,0.0,0.0,59.4,43.13,0.0,0.0,30.81078,78.0529,91.5,75.54,0.0,0.0,90.58,76.03,91.66,69.87,0.0,63.93,36.24,35.94,0.0,0.0,0.0,38.7,27.49287
2025-01-01 05:00:00,31.86,389.5713,31.92,35.12,48.28,67.85,81.96,69.9,50.687176,137.8,32.37984,124.9,93.9,28.3,76.8351,98.0,51.78,18.06,115.1,37.98,0.0,0.0,59.4,40.42,0.0,0.0,28.52691,59.4058,91.5,66.93,0.0,0.0,64.49,68.66893,74.387596,47.38,0.0,60.68,35.06,40.07,0.0,0.0,0.0,33.5,25.06571
2025-01-01 06:00:00,36.62,281.10175,32.56,33.32,42.485558,67.85,81.11767,69.9,49.759003,137.8,28.99325,124.9,93.9,28.5,66.383,98.0,51.83,24.39,115.1,33.99,0.0,0.0,59.4,49.57,0.0,0.0,26.40372,59.4058,91.5,66.93,0.0,0.0,49.69,68.36,74.07,47.38,0.0,52.55,40.28,36.88,0.0,0.0,0.0,26.5,23.47077
2025-01-01 07:00:00,30.84,233.57712,29.57,44.46,40.83,63.9,76.64,69.9,34.831303,137.8,26.65344,124.9,93.9,27.0,59.9566,98.0,42.83,21.65,89.64,32.74,0.0,0.0,59.4,38.88,0.0,0.0,24.1949,39.6923,91.5,49.44,0.0,0.0,48.43,73.56169,75.552734,37.47,0.0,61.07,25.05,34.55,0.0,0.0,0.0,24.3,21.65496
2025-01-01 08:00:00,32.53,148.41736,33.35,34.45,33.511112,63.9,77.38258,69.9,28.688534,137.8,26.10821,124.9,93.9,23.6,41.7332,98.0,38.34,24.03,89.64,29.57,0.0,0.0,59.4,50.45,0.0,0.0,22.50034,39.6923,91.5,49.44,0.0,0.0,53.52,73.78,75.58,37.47,0.0,56.33,60.1,28.07,0.0,0.0,0.0,25.8,19.89299
2025-01-01 09:00:00,58.15,121.94811,43.88,45.6,31.42,65.85,81.33,69.9,25.37744,137.8,26.74119,124.9,93.9,26.6,40.3281,98.0,36.91,19.05,74.04,30.56,0.0,0.0,59.4,55.51,0.0,0.0,20.95289,32.0072,91.5,37.02,0.0,0.0,41.77,82.25435,70.297134,21.66,0.0,44.9,32.15,38.87,0.0,0.0,0.0,26.9,18.3519
2025-01-01 10:00:00,115.12,109.580826,84.2,48.56,33.34111,65.85,81.16835,69.9,24.992035,137.8,23.49832,124.9,93.9,28.1,29.1801,98.0,36.66,26.01,74.04,29.52,0.0,0.0,59.4,57.9,0.0,0.0,19.83872,32.0072,91.5,37.02,0.0,0.0,47.68,82.61,70.2,21.66,0.0,41.37,43.15,29.22,0.0,0.0,0.0,31.1,17.04653
2025-01-01 11:00:00,146.04,105.91,40.08,35.24,33.89,63.81,80.3,69.9,25.933096,137.8,19.97312,124.9,93.9,33.4,33.4461,98.0,39.83,21.9,68.36,28.96,0.0,0.0,59.4,62.48,0.0,0.0,19.41984,17.5656,91.5,29.67,0.0,0.0,36.89,85.46038,74.0885,21.65,0.0,39.16,33.42,56.57,0.0,0.0,0.0,33.9,15.75261
2025-01-01 12:00:00,83.47,88.89367,21.87,34.85,35.702225,63.81,80.81478,69.9,26.419424,137.8,18.6936,124.9,93.9,27.5,29.6359,98.0,37.28,42.3,68.36,31.98,0.0,0.0,59.4,34.64,0.0,0.0,18.72456,17.5656,91.5,29.67,0.0,0.0,35.26,85.58,74.16,21.65,0.0,44.89,58.81,49.18,0.0,0.0,0.0,37.4,16.1028
2025-01-01 13:00:00,27.37,59.484074,20.49,26.66,36.22,58.31,83.58,69.9,27.32635,137.8,17.82789,124.9,93.9,24.4,37.9231,98.0,31.07,51.63,62.78,39.56,0.0,0.0,59.4,34.12,0.0,0.0,18.56218,30.665,91.5,21.93,0.0,0.0,27.51,84.773834,90.90215,13.47,0.0,46.05,59.02,63.07,0.0,0.0,0.0,63.1,16.64886
