datetime,SPO.IT0499A_6001_nephelometry_beta_2007-12-28_00:00:00,SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,SPO.IT0591A_6001_nephelometry_beta_2011-03-03_00:00:00,SPO.IT0594A_6001_BETA_2022-01-01_00:00:00,SPO.IT0703A_6001_nephelometry_beta_2011-03-10_00:00:00,SPO.IT0777A_6001_BETA_2022-01-01_00:00:00,SPO.IT0778A_6001_BETA_2022-01-01_00:00:00,SPO.IT0908A_6001_BETA_2022-01-01_00:00:00,SPO.IT0983A_6001_OPC-CMC_2020-01-01_00:00:00,SPO.IT1037A_6001_nephelometry_beta_2009-04-17_00:00:00,SPO.IT1153A_6001_BETA_2022-01-01_00:00:00,SPO.IT1264A_6001_BETA_2011-09-24_00:00:00,SPO.IT1286A_6001_BETA_2022-01-01_00:00:00,SPO.IT1294A_6001_BETA_2023-08-01_01:00:00,SPO.IT1423A_6001_BETA_2011-09-24_00:00:00,SPO.IT1536A_6001_BETA_2015-01-01_00:00:00,SPO.IT1650A_6001_BETA_2022-01-01_00:00:00,SPO.IT1692A_6001_BETA_2022-01-01_00:00:00,SPO.IT1696A_6001_nephelometry_beta_2008-02-16_00:00:00,SPO.IT1737A_6001_BETA_2022-01-01_00:00:00,SPO.IT1739A_6001_BETA_2022-01-01_00:00:00,SPO.IT1856A_6001_BETA_2013-01-01_00:00:00,SPO.IT1865A_6001_BETA_2022-01-01_00:00:00,SPO.IT1868A_6001_BETA_2022-01-01_00:00:00,SPO.IT1876A_6001_BETA_2022-01-01_00:00:00,SPO.IT1977A_6001_BETA_2014-01-01_00:00:00,SPO.IT2063A_6001_BETA_2022-01-01_00:00:00,SPO.IT2161A_6001_BETA_2016-01-01_00:00:00,SPO.IT2162A_6001_BETA_2017-10-12_00:00:00,SPO.IT2166A_6001_BETA_2017-01-01_00:00:00,SPO.IT2167A_6001_BETA_2017-01-01_00:00:00,SPO.IT2284A_6001_OPC-CMC_2019-01-01_00:00:00,SPO.IT2301A_6001_BETA_2022-01-01_00:00:00
2025-01-01 02:00:00,59.89,519.9358,67.72,51.828682,30.55,74.1,120.2,24.7,69.2,113.62,131.9,0.0,131.56,53.479855,0.0,87.03,71.5,119.1,169.03,77.2,107.8,0.0,58.6,71.31,44.7,0.0,74.7,0.0,0.0,0.0,0.0,54.3,113.5
2025-01-01 03:00:00,50.62,438.11774,55.33,54.05,30.6,74.1,120.2,24.7,28.9,77.78,131.9,0.0,108.42,53.479855,0.0,70.53,71.5,119.1,134.61,77.2,107.8,0.0,58.6,66.76111,44.7,0.0,74.7,0.0,0.0,0.0,0.0,45.2,113.5
2025-01-01 04:00:00,20.54,378.92636,53.17,40.034374,33.35,74.1,120.2,24.7,48.3,49.97,131.9,0.0,108.42,53.479855,0.0,47.26,71.5,119.1,119.11,77.2,107.8,0.0,58.6,66.71,44.7,0.0,74.7,0.0,0.0,0.0,0.0,35.8,113.5
2025-01-01 05:00:00,19.14,305.6773,52.03,36.5,37.05,74.1,120.2,24.7,25.7,42.1,131.9,0.0,95.47,53.479855,0.0,29.27,71.5,119.1,99.46,77.2,107.8,0.0,58.6,67.05611,44.7,0.0,74.7,0.0,0.0,0.0,0.0,30.5,113.5
2025-01-01 06:00:00,21.66,219.31488,41.54,32.530903,33.55,74.1,120.2,24.7,24.6,42.14,131.9,0.0,95.47,53.479855,0.0,25.49,71.5,119.1,78.42,77.2,107.8,0.0,58.6,67.06,44.7,0.0,74.7,0.0,0.0,0.0,0.0,23.5,113.5
2025-01-01 07:00:00,18.46,136.04047,34.92,31.53,33.61,74.1,120.2,24.7,22.3,33.8,131.9,0.0,94.05,53.479855,0.0,20.21,71.5,119.1,65.05,77.2,107.8,0.0,58.6,68.82022,44.7,0.0,74.7,0.0,0.0,0.0,0.0,21.1,113.5
2025-01-01 08:00:00,19.49,173.98396,28.65,28.543196,31.78,74.1,120.2,24.7,18.9,29.61,131.9,0.0,94.05,53.479855,0.0,16.53,71.5,119.1,53.23,77.2,107.8,0.0,58.6,68.84,44.7,0.0,74.7,0.0,0.0,0.0,0.0,21.2,113.5
2025-01-01 09:00:00,33.5,108.11418,26.43,27.79,28.9,74.1,120.2,24.7,22.1,28.6,131.9,0.0,84.4,53.479855,0.0,13.25,71.5,119.1,51.7,77.2,107.8,0.0,58.6,69.03778,44.7,0.0,74.7,0.0,0.0,0.0,0.0,22.6,113.5
2025-01-01 10:00:00,64.51,96.10777,29.17,25.69764,37.15,74.1,120.2,24.7,22.6,28.71,131.9,0.0,84.4,53.479855,0.0,14.04,71.5,119.1,50.6,77.2,107.8,0.0,58.6,69.04,44.7,0.0,74.7,0.0,0.0,0.0,0.0,26.2,113.5
2025-01-01 11:00:00,84.58,51.965717,30.19,25.17,37.91,74.1,120.2,24.7,27.7,32.34,131.9,0.0,88.35,53.479855,0.0,18.36,71.5,119.1,56.89,77.2,107.8,0.0,58.6,78.17733,44.7,0.0,74.7,0.0,0.0,0.0,0.0,29.6,113.5
