site,lat,lon
SPO.IT0499A_6001_nephelometry_beta_2007-12-28_00:00:00,46.61947,10.85906
SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,45.49556,9.19139
SPO.IT0591A_6001_nephelometry_beta_2011-03-03_00:00:00,45.89244,11.03941
SPO.IT0594A_6001_BETA_2022-01-01_00:00:00,45.54083,10.22361
SPO.IT0703A_6001_nephelometry_beta_2011-03-10_00:00:00,46.05184,11.45389
SPO.IT0777A_6001_BETA_2022-01-01_00:00:00,45.69796,9.40619
SPO.IT0778A_6001_BETA_2022-01-01_00:00:00,45.51833,9.59139
SPO.IT0908A_6001_BETA_2022-01-01_00:00:00,46.47028,10.3725
SPO.IT0983A_6001_OPC-CMC_2020-01-01_00:00:00,45.73583,7.32417
SPO.IT1037A_6001_nephelometry_beta_2009-04-17_00:00:00,46.06293,11.1262
SPO.IT1153A_6001_BETA_2022-01-01_00:00:00,45.13278,10.01667
SPO.IT1264A_6001_BETA_2011-09-24_00:00:00,42.46639,14.21306
SPO.IT1286A_6001_BETA_2022-01-01_00:00:00,45.30528,9.48556
SPO.IT1294A_6001_BETA_2023-08-01_01:00:00,45.52583,8.73667
SPO.IT1423A_6001_BETA_2011-09-24_00:00:00,42.45639,14.23472
SPO.IT1536A_6001_BETA_2015-01-01_00:00:00,44.11603,9.84394
SPO.IT1650A_6001_BETA_2022-01-01_00:00:00,45.62694,9.02417
SPO.IT1692A_6001_BETA_2022-01-01_00:00:00,45.47833,9.23583
SPO.IT1696A_6001_nephelometry_beta_2008-02-16_00:00:00,46.43483,11.34014
SPO.IT1737A_6001_BETA_2022-01-01_00:00:00,45.51528,10.21944
SPO.IT1739A_6001_BETA_2022-01-01_00:00:00,45.14222,10.04583
SPO.IT1856A_6001_BETA_2013-01-01_00:00:00,42.36417,13.38306
SPO.IT1865A_6001_BETA_2022-01-01_00:00:00,44.99694,11.07083
SPO.IT1868A_6001_BETA_2022-01-01_00:00:00,45.16056,10.79556
SPO.IT1876A_6001_BETA_2022-01-01_00:00:00,45.68333,9.46667
SPO.IT1977A_6001_BETA_2014-01-01_00:00:00,42.5175,14.14833
SPO.IT2063A_6001_BETA_2022-01-01_00:00:00,45.14833,9.94028
SPO.IT2161A_6001_BETA_2016-01-01_00:00:00,41.77944,14.10361
SPO.IT2162A_6001_BETA_2017-10-12_00:00:00,42.66556,13.72611
SPO.IT2166A_6001_BETA_2017-01-01_00:00:00,42.34611,14.13778
SPO.IT2167A_6001_BETA_2017-01-01_00:00:00,42.42139,14.27917
SPO.IT2284A_6001_OPC-CMC_2019-01-01_00:00:00,45.7324,7.32189
SPO.IT2301A_6001_BETA_2022-01-01_00:00:00,45.50867,10.25637
