lat,lon,site
56.047828,93.137874,apn-krasnoyarsk-berezovka
55.999854,93.01279,apn-krasnoyarsk-cheremushki
55.995071,92.957727,apn-krasnoyarsk-kirovskiy
56.025745,92.860622,apn-krasnoyarsk-pokrovka
56.067389,92.941876,apn-krasnoyarsk-severnyy
56.117222,92.937419,apn-krasnoyarsk-solnechnyy
55.976376,92.854312,apn-krasnoyarsk-sverdlovskiy
56.011261,92.824654,kopylova
56.063646,92.823179,mkrn-zhivyom
56.032587,92.879069,muzhestva
55.996513,93.027967,shevchenko
56.036649,92.913366,vesny
56.015769,92.977165,yunosti
